Nome Tabella: AUTO

ID                              || Intero       || SMALLINT         || PRIMARY_KEY, AUTO_INCREMENT, UNIQUE
Marca                           || Stringa      || VARCHAR(20)      || NOTNULL
Modello                         || Stringa      || VARCHAR(25)      || NOTNULL
Anno Immatricolazione           || Data         || DATE             || NOTNULL
Cilindrata                      || Intero       || SMALLINT         || NOTNULL
CV                              || Intero       || SMALLINT         || NOTNULL
Targa                           || Stringa      || VARCHAR(7)       || UNIQUE, NOTNULL
Provenzienza                    || Stringa      || VARCHAR(20)      || NULL
Classe ambientale               || Stringa      || VARCHAR(5)       || NOTNULL
Tipologia                       || Stringa      || VARCHAR(10)      || NULL
Chilometraggio                  || Intero       || INT              || NOTNULL, DEFAULT(0)
Prezzo Acquisto                 || Float        || FLOAT (10,2)     || NULL
Prezzo Vendita                  || Float        || FLOAT (10,2)     || NOTNULL
Colore                          || Stringa      || VARCHAR(10)      || NOTNULL
Cambio                          || Stringa      || VARCHAR(15)      || NOTNULL
Alimentazione                   || Stringa      || VARCHAR(20)      || NOTNULL
Posti                           || Intero       || TINYINT          || NOTNULL
Porte                           || Intero       || TINYINT          || NOTNULL
Descrizione Veicolo             || Stringa      || TEXT             || NULL
